composer,title,folder,xml_score,midi_score,midi_performance,performance_annotations,midi_score_annotations,maestro_midi_performance,maestro_audio_performance,start,end,audio_performance
Bach,Fugue_bwv_854,Bach/Fugue/bwv_854,Bach/Fugue/bwv_854/xml_score.musicxml,Bach/Fugue/bwv_854/midi_score.mid,Bach/Fugue/bwv_854/LuA01M.mid,Bach/Fugue/bwv_854/LuA01M_annotations.txt,Bach/Fugue/bwv_854/midi_score_annotations.txt,{maestro}/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_04_R1_2015_wav--1.midi,{maestro}/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_04_R1_2015_wav--1.wav,91.77916666666668,,Bach/Fugue/bwv_854/LuA01M.wav
Bach,Fugue_bwv_854,Bach/Fugue/bwv_854,Bach/Fugue/bwv_854/xml_score.musicxml,Bach/Fugue/bwv_854/midi_score.mid,Bach/Fugue/bwv_854/MiyashitaM01M.mid,Bach/Fugue/bwv_854/MiyashitaM01M_annotations.txt,Bach/Fugue/bwv_854/midi_score_annotations.txt,{maestro}/2017/MIDI-Unprocessed_051_PIANO051_MID--AUDIO-split_07-06-17_Piano-e_3-02_wav--1.midi,{maestro}/2017/MIDI-Unprocessed_051_PIANO051_MID--AUDIO-split_07-06-17_Piano-e_3-02_wav--1.wav,82.771875,,Bach/Fugue/bwv_854/MiyashitaM01M.wav
Bach,Fugue_bwv_854,Bach/Fugue/bwv_854,Bach/Fugue/bwv_854/xml_score.musicxml,Bach/Fugue/bwv_854/midi_score.mid,Bach/Fugue/bwv_854/Ozaki01M.mid,Bach/Fugue/bwv_854/Ozaki01M_annotations.txt,Bach/Fugue/bwv_854/midi_score_annotations.txt,{maestro}/2011/MIDI-Unprocessed_03_R1_2011_MID--AUDIO_R1-D1_15_Track15_wav.midi,{maestro}/2011/MIDI-Unprocessed_03_R1_2011_MID--AUDIO_R1-D1_15_Track15_wav.wav,85.93880208333331,,Bach/Fugue/bwv_854/Ozaki01M.wav
Bach,Fugue_bwv_854,Bach/Fugue/bwv_854,Bach/Fugue/bwv_854/xml_score.musicxml,Bach/Fugue/bwv_854/midi_score.mid,Bach/Fugue/bwv_854/Richardson01M.mid,Bach/Fugue/bwv_854/Richardson01M_annotations.txt,Bach/Fugue/bwv_854/midi_score_annotations.txt,{maestro}/2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_08_R1_2013_wav--1.midi,{maestro}/2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_08_R1_2013_wav--1.wav,94.62239583333331,,Bach/Fugue/bwv_854/Richardson01M.wav
Bach,Fugue_bwv_854,Bach/Fugue/bwv_854,Bach/Fugue/bwv_854/xml_score.musicxml,Bach/Fugue/bwv_854/midi_score.mid,Bach/Fugue/bwv_854/WangA01M.mid,Bach/Fugue/bwv_854/WangA01M_annotations.txt,Bach/Fugue/bwv_854/midi_score_annotations.txt,{maestro}/2017/MIDI-Unprocessed_041_PIANO041_MID--AUDIO-split_07-06-17_Piano-e_1-01_wav--1.midi,{maestro}/2017/MIDI-Unprocessed_041_PIANO041_MID--AUDIO-split_07-06-17_Piano-e_1-01_wav--1.wav,86.775,,Bach/Fugue/bwv_854/WangA01M.wav
Bach,Fugue_bwv_856,Bach/Fugue/bwv_856,Bach/Fugue/bwv_856/xml_score.musicxml,Bach/Fugue/bwv_856/midi_score.mid,Bach/Fugue/bwv_856/LuoJ01M.mid,Bach/Fugue/bwv_856/LuoJ01M_annotations.txt,Bach/Fugue/bwv_856/midi_score_annotations.txt,{maestro}/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_06_R1_2015_wav--1.midi,{maestro}/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_06_R1_2015_wav--1.wav,59.978125,,Bach/Fugue/bwv_856/LuoJ01M.wav
Bach,Fugue_bwv_857,Bach/Fugue/bwv_857,Bach/Fugue/bwv_857/xml_score.musicxml,Bach/Fugue/bwv_857/midi_score.mid,Bach/Fugue/bwv_857/Bult-ItoS02M.mid,Bach/Fugue/bwv_857/Bult-ItoS02M_annotations.txt,Bach/Fugue/bwv_857/midi_score_annotations.txt,{maestro}/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_05_R1_2015_wav--2.midi,{maestro}/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_05_R1_2015_wav--2.wav,107.07395833333334,,Bach/Fugue/bwv_857/Bult-ItoS02M.wav
Bach,Fugue_bwv_857,Bach/Fugue/bwv_857,Bach/Fugue/bwv_857/xml_score.musicxml,Bach/Fugue/bwv_857/midi_score.mid,Bach/Fugue/bwv_857/Lan01M.mid,Bach/Fugue/bwv_857/Lan01M_annotations.txt,Bach/Fugue/bwv_857/midi_score_annotations.txt,,,,19.40755208333333,
Bach,Fugue_bwv_857,Bach/Fugue/bwv_857,Bach/Fugue/bwv_857/xml_score.musicxml,Bach/Fugue/bwv_857/midi_score.mid,Bach/Fugue/bwv_857/Lisiecki04M.mid,Bach/Fugue/bwv_857/Lisiecki04M_annotations.txt,Bach/Fugue/bwv_857/midi_score_annotations.txt,{maestro}/2008/MIDI-Unprocessed_11_R1_2008_01-04_ORIG_MID--AUDIO_11_R1_2008_wav--1.midi,{maestro}/2008/MIDI-Unprocessed_11_R1_2008_01-04_ORIG_MID--AUDIO_11_R1_2008_wav--1.wav,113.3984375,,Bach/Fugue/bwv_857/Lisiecki04M.wav
Bach,Fugue_bwv_857,Bach/Fugue/bwv_857,Bach/Fugue/bwv_857/xml_score.musicxml,Bach/Fugue/bwv_857/midi_score.mid,Bach/Fugue/bwv_857/ToA01M.mid,Bach/Fugue/bwv_857/ToA01M_annotations.txt,Bach/Fugue/bwv_857/midi_score_annotations.txt,{maestro}/2017/MIDI-Unprocessed_048_PIANO048_MID--AUDIO-split_07-06-17_Piano-e_2-05_wav--1.midi,{maestro}/2017/MIDI-Unprocessed_048_PIANO048_MID--AUDIO-split_07-06-17_Piano-e_2-05_wav--1.wav,132.90833333333333,,Bach/Fugue/bwv_857/ToA01M.wav
Bach,Fugue_bwv_857,Bach/Fugue/bwv_857,Bach/Fugue/bwv_857/xml_score.musicxml,Bach/Fugue/bwv_857/midi_score.mid,Bach/Fugue/bwv_857/WangA01M.mid,Bach/Fugue/bwv_857/WangA01M_annotations.txt,Bach/Fugue/bwv_857/midi_score_annotations.txt,{maestro}/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_18_R1_2015_wav--1.midi,{maestro}/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_18_R1_2015_wav--1.wav,137.63854166666667,,Bach/Fugue/bwv_857/WangA01M.wav
Bach,Fugue_bwv_857,Bach/Fugue/bwv_857,Bach/Fugue/bwv_857/xml_score.musicxml,Bach/Fugue/bwv_857/midi_score.mid,Bach/Fugue/bwv_857/YuP01M.mid,Bach/Fugue/bwv_857/YuP01M_annotations.txt,Bach/Fugue/bwv_857/midi_score_annotations.txt,{maestro}/2017/MIDI-Unprocessed_042_PIANO042_MID--AUDIO-split_07-06-17_Piano-e_1-02_wav--1.midi,{maestro}/2017/MIDI-Unprocessed_042_PIANO042_MID--AUDIO-split_07-06-17_Piano-e_1-02_wav--1.wav,116.89166666666668,,Bach/Fugue/bwv_857/YuP01M.wav
Bach,Fugue_bwv_858,Bach/Fugue/bwv_858,Bach/Fugue/bwv_858/xml_score.musicxml,Bach/Fugue/bwv_858/midi_score.mid,Bach/Fugue/bwv_858/VuV01M.mid,Bach/Fugue/bwv_858/VuV01M_annotations.txt,Bach/Fugue/bwv_858/midi_score_annotations.txt,{maestro}/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--1.midi,{maestro}/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--1.wav,83.88229166666666,,Bach/Fugue/bwv_858/VuV01M.wav
Bach,Fugue_bwv_858,Bach/Fugue/bwv_858,Bach/Fugue/bwv_858/xml_score.musicxml,Bach/Fugue/bwv_858/midi_score.mid,Bach/Fugue/bwv_858/Zhang01M.mid,Bach/Fugue/bwv_858/Zhang01M_annotations.txt,Bach/Fugue/bwv_858/midi_score_annotations.txt,{maestro}/2011/MIDI-Unprocessed_07_R1_2011_MID--AUDIO_R1-D3_02_Track02_wav.midi,{maestro}/2011/MIDI-Unprocessed_07_R1_2011_MID--AUDIO_R1-D3_02_Track02_wav.wav,90.33072916666666,,Bach/Fugue/bwv_858/Zhang01M.wav
Bach,Fugue_bwv_860,Bach/Fugue/bwv_860,Bach/Fugue/bwv_860/xml_score.musicxml,Bach/Fugue/bwv_860/midi_score.mid,Bach/Fugue/bwv_860/Ko04M.mid,Bach/Fugue/bwv_860/Ko04M_annotations.txt,Bach/Fugue/bwv_860/midi_score_annotations.txt,{maestro}/2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--1.midi,{maestro}/2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--1.wav,50.91145833333333,,Bach/Fugue/bwv_860/Ko04M.wav
Bach,Fugue_bwv_860,Bach/Fugue/bwv_860,Bach/Fugue/bwv_860/xml_score.musicxml,Bach/Fugue/bwv_860/midi_score.mid,Bach/Fugue/bwv_860/Nikiforov05M.mid,Bach/Fugue/bwv_860/Nikiforov05M_annotations.txt,Bach/Fugue/bwv_860/midi_score_annotations.txt,{maestro}/2008/MIDI-Unprocessed_12_R1_2008_01-04_ORIG_MID--AUDIO_12_R1_2008_wav--2.midi,{maestro}/2008/MIDI-Unprocessed_12_R1_2008_01-04_ORIG_MID--AUDIO_12_R1_2008_wav--2.wav,50.96744791666666,,Bach/Fugue/bwv_860/Nikiforov05M.wav
Bach,Fugue_bwv_860,Bach/Fugue/bwv_860,Bach/Fugue/bwv_860/xml_score.musicxml,Bach/Fugue/bwv_860/midi_score.mid,Bach/Fugue/bwv_860/Tetzloff04M.mid,Bach/Fugue/bwv_860/Tetzloff04M_annotations.txt,Bach/Fugue/bwv_860/midi_score_annotations.txt,{maestro}/2008/MIDI-Unprocessed_15_R1_2008_01-04_ORIG_MID--AUDIO_15_R1_2008_wav--1.midi,{maestro}/2008/MIDI-Unprocessed_15_R1_2008_01-04_ORIG_MID--AUDIO_15_R1_2008_wav--1.wav,51.00651041666666,,Bach/Fugue/bwv_860/Tetzloff04M.wav
Bach,Fugue_bwv_860,Bach/Fugue/bwv_860,Bach/Fugue/bwv_860/xml_score.musicxml,Bach/Fugue/bwv_860/midi_score.mid,Bach/Fugue/bwv_860/TuanS01M.mid,Bach/Fugue/bwv_860/TuanS01M_annotations.txt,Bach/Fugue/bwv_860/midi_score_annotations.txt,{maestro}/2017/MIDI-Unprocessed_057_PIANO057_MID--AUDIO-split_07-07-17_Piano-e_1-07_wav--1.midi,{maestro}/2017/MIDI-Unprocessed_057_PIANO057_MID--AUDIO-split_07-07-17_Piano-e_1-07_wav--1.wav,52.3,,Bach/Fugue/bwv_860/TuanS01M.wav
Bach,Fugue_bwv_860,Bach/Fugue/bwv_860,Bach/Fugue/bwv_860/xml_score.musicxml,Bach/Fugue/bwv_860/midi_score.mid,Bach/Fugue/bwv_860/YoungS01M.mid,Bach/Fugue/bwv_860/YoungS01M_annotations.txt,Bach/Fugue/bwv_860/midi_score_annotations.txt,{maestro}/2015/MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_21_R1_2015_wav--1.midi,{maestro}/2015/MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_21_R1_2015_wav--1.wav,51.83958333333333,,Bach/Fugue/bwv_860/YoungS01M.wav
Bach,Fugue_bwv_860,Bach/Fugue/bwv_860,Bach/Fugue/bwv_860/xml_score.musicxml,Bach/Fugue/bwv_860/midi_score.mid,Bach/Fugue/bwv_860/ZhangH04M.mid,Bach/Fugue/bwv_860/ZhangH04M_annotations.txt,Bach/Fugue/bwv_860/midi_score_annotations.txt,{maestro}/2008/MIDI-Unprocessed_18_R1_2008_01-04_ORIG_MID--AUDIO_18_R1_2008_wav--1.midi,{maestro}/2008/MIDI-Unprocessed_18_R1_2008_01-04_ORIG_MID--AUDIO_18_R1_2008_wav--1.wav,51.25260416666666,,Bach/Fugue/bwv_860/ZhangH04M.wav
Bach,Fugue_bwv_862,Bach/Fugue/bwv_862,Bach/Fugue/bwv_862/xml_score.musicxml,Bach/Fugue/bwv_862/midi_score.mid,Bach/Fugue/bwv_862/Song04M.mid,Bach/Fugue/bwv_862/Song04M_annotations.txt,Bach/Fugue/bwv_862/midi_score_annotations.txt,{maestro}/2008/MIDI-Unprocessed_13_R1_2008_01-04_ORIG_MID--AUDIO_13_R1_2008_wav--1.midi,{maestro}/2008/MIDI-Unprocessed_13_R1_2008_01-04_ORIG_MID--AUDIO_13_R1_2008_wav--1.wav,78.703125,,Bach/Fugue/bwv_862/Song04M.wav
Bach,Fugue_bwv_863,Bach/Fugue/bwv_863,Bach/Fugue/bwv_863/xml_score.musicxml,Bach/Fugue/bwv_863/midi_score.mid,Bach/Fugue/bwv_863/LeeN01M.mid,Bach/Fugue/bwv_863/LeeN01M_annotations.txt,Bach/Fugue/bwv_863/midi_score_annotations.txt,{maestro}/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_07_R1_2015_wav--1.midi,{maestro}/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_07_R1_2015_wav--1.wav,108.51666666666668,,Bach/Fugue/bwv_863/LeeN01M.wav
Bach,Fugue_bwv_863,Bach/Fugue/bwv_863,Bach/Fugue/bwv_863/xml_score.musicxml,Bach/Fugue/bwv_863/midi_score.mid,Bach/Fugue/bwv_863/Shychko01M.mid,Bach/Fugue/bwv_863/Shychko01M_annotations.txt,Bach/Fugue/bwv_863/midi_score_annotations.txt,{maestro}/2011/MIDI-Unprocessed_11_R1_2011_MID--AUDIO_R1-D4_07_Track07_wav.midi,{maestro}/2011/MIDI-Unprocessed_11_R1_2011_MID--AUDIO_R1-D4_07_Track07_wav.wav,105.11197916666666,,Bach/Fugue/bwv_863/Shychko01M.wav
Bach,Fugue_bwv_863,Bach/Fugue/bwv_863,Bach/Fugue/bwv_863/xml_score.musicxml,Bach/Fugue/bwv_863/midi_score.mid,Bach/Fugue/bwv_863/TongB01M.mid,Bach/Fugue/bwv_863/TongB01M_annotations.txt,Bach/Fugue/bwv_863/midi_score_annotations.txt,{maestro}/2017/MIDI-Unprocessed_056_PIANO056_MID--AUDIO-split_07-07-17_Piano-e_1-05_wav--1.midi,{maestro}/2017/MIDI-Unprocessed_056_PIANO056_MID--AUDIO-split_07-07-17_Piano-e_1-05_wav--1.wav,97.58020833333332,,Bach/Fugue/bwv_863/TongB01M.wav
Bach,Fugue_bwv_864,Bach/Fugue/bwv_864,Bach/Fugue/bwv_864/xml_score.musicxml,Bach/Fugue/bwv_864/midi_score.mid,Bach/Fugue/bwv_864/SunD01M.mid,Bach/Fugue/bwv_864/SunD01M_annotations.txt,Bach/Fugue/bwv_864/midi_score_annotations.txt,{maestro}/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_16_R1_2015_wav--1.midi,{maestro}/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_16_R1_2015_wav--1.wav,67.1125,,Bach/Fugue/bwv_864/SunD01M.wav
Bach,Fugue_bwv_865,Bach/Fugue/bwv_865,Bach/Fugue/bwv_865/xml_score.musicxml,Bach/Fugue/bwv_865/midi_score.mid,Bach/Fugue/bwv_865/Rizikov01M.mid,Bach/Fugue/bwv_865/Rizikov01M_annotations.txt,Bach/Fugue/bwv_865/midi_score_annotations.txt,,,,,
Bach,Fugue_bwv_865,Bach/Fugue/bwv_865,Bach/Fugue/bwv_865/xml_score.musicxml,Bach/Fugue/bwv_865/midi_score.mid,Bach/Fugue/bwv_865/Teo01M.mid,Bach/Fugue/bwv_865/Teo01M_annotations.txt,Bach/Fugue/bwv_865/midi_score_annotations.txt,{maestro}/2011/MIDI-Unprocessed_25_R1_2011_MID--AUDIO_R1-D9_14_Track14_wav.midi,{maestro}/2011/MIDI-Unprocessed_25_R1_2011_MID--AUDIO_R1-D9_14_Track14_wav.wav,59.97526041666666,,Bach/Fugue/bwv_865/Teo01M.wav
Bach,Fugue_bwv_865,Bach/Fugue/bwv_865,Bach/Fugue/bwv_865/xml_score.musicxml,Bach/Fugue/bwv_865/midi_score.mid,Bach/Fugue/bwv_865/ZhangE01M.mid,Bach/Fugue/bwv_865/ZhangE01M_annotations.txt,Bach/Fugue/bwv_865/midi_score_annotations.txt,{maestro}/2017/MIDI-Unprocessed_067_PIANO067_MID--AUDIO-split_07-07-17_Piano-e_3-03_wav--1.midi,{maestro}/2017/MIDI-Unprocessed_067_PIANO067_MID--AUDIO-split_07-07-17_Piano-e_3-03_wav--1.wav,63.21979166666666,,Bach/Fugue/bwv_865/ZhangE01M.wav
Bach,Fugue_bwv_866,Bach/Fugue/bwv_866,Bach/Fugue/bwv_866/xml_score.musicxml,Bach/Fugue/bwv_866/midi_score.mid,Bach/Fugue/bwv_866/SOLOM02.mid,Bach/Fugue/bwv_866/SOLOM02_annotations.txt,Bach/Fugue/bwv_866/midi_score_annotations.txt,,,,,
Bach,Fugue_bwv_867,Bach/Fugue/bwv_867,Bach/Fugue/bwv_867/xml_score.musicxml,Bach/Fugue/bwv_867/midi_score.mid,Bach/Fugue/bwv_867/HuNY01M.mid,Bach/Fugue/bwv_867/HuNY01M_annotations.txt,Bach/Fugue/bwv_867/midi_score_annotations.txt,{maestro}/2015/MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_22_R1_2015_wav--1.midi,{maestro}/2015/MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_22_R1_2015_wav--1.wav,174.12395833333332,,Bach/Fugue/bwv_867/HuNY01M.wav
Bach,Fugue_bwv_867,Bach/Fugue/bwv_867,Bach/Fugue/bwv_867/xml_score.musicxml,Bach/Fugue/bwv_867/midi_score.mid,Bach/Fugue/bwv_867/Sham01M.mid,Bach/Fugue/bwv_867/Sham01M_annotations.txt,Bach/Fugue/bwv_867/midi_score_annotations.txt,{maestro}/2011/MIDI-Unprocessed_16_R1_2011_MID--AUDIO_R1-D6_12_Track12_wav.midi,{maestro}/2011/MIDI-Unprocessed_16_R1_2011_MID--AUDIO_R1-D6_12_Track12_wav.wav,181.5364583333333,,Bach/Fugue/bwv_867/Sham01M.wav
Bach,Fugue_bwv_868,Bach/Fugue/bwv_868,Bach/Fugue/bwv_868/xml_score.musicxml,Bach/Fugue/bwv_868/midi_score.mid,Bach/Fugue/bwv_868/GonzalezJ05M.mid,Bach/Fugue/bwv_868/GonzalezJ05M_annotations.txt,Bach/Fugue/bwv_868/midi_score_annotations.txt,{maestro}/2014/MIDI-UNPROCESSED_01-03_R1_2014_MID--AUDIO_03_R1_2014_wav--2.midi,{maestro}/2014/MIDI-UNPROCESSED_01-03_R1_2014_MID--AUDIO_03_R1_2014_wav--2.wav,65.62369791666666,,Bach/Fugue/bwv_868/GonzalezJ05M.wav
Bach,Fugue_bwv_870,Bach/Fugue/bwv_870,Bach/Fugue/bwv_870/xml_score.musicxml,Bach/Fugue/bwv_870/midi_score.mid,Bach/Fugue/bwv_870/ChenW01M.mid,Bach/Fugue/bwv_870/ChenW01M_annotations.txt,Bach/Fugue/bwv_870/midi_score_annotations.txt,{maestro}/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_20_R1_2015_wav--1.midi,{maestro}/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_20_R1_2015_wav--1.wav,161.71458333333334,,Bach/Fugue/bwv_870/ChenW01M.wav
Bach,Fugue_bwv_870,Bach/Fugue/bwv_870,Bach/Fugue/bwv_870/xml_score.musicxml,Bach/Fugue/bwv_870/midi_score.mid,Bach/Fugue/bwv_870/LeeE01M.mid,Bach/Fugue/bwv_870/LeeE01M_annotations.txt,Bach/Fugue/bwv_870/midi_score_annotations.txt,{maestro}/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_17_R1_2015_wav--1.midi,{maestro}/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_17_R1_2015_wav--1.wav,146.88854166666667,,Bach/Fugue/bwv_870/LeeE01M.wav
Bach,Fugue_bwv_870,Bach/Fugue/bwv_870,Bach/Fugue/bwv_870/xml_score.musicxml,Bach/Fugue/bwv_870/midi_score.mid,Bach/Fugue/bwv_870/MaximovI01M.mid,Bach/Fugue/bwv_870/MaximovI01M_annotations.txt,Bach/Fugue/bwv_870/midi_score_annotations.txt,{maestro}/2014/MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_16_R1_2014_wav--1.midi,{maestro}/2014/MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_16_R1_2014_wav--1.wav,156.80598958333331,,Bach/Fugue/bwv_870/MaximovI01M.wav
